Currency Exchange Rates 2013Jan21,GBP,EUR,USD,JPY,CHF,CAD,AUD,NZD,RUB,ZAR,MXN,AED
GBP,1.0000,1.1912,1.5868,142.1458,1.4829,1.5731,1.5091,1.8984,48.0403,14.083,20.0899,5.8236
EUR,0.8395,1.0000,1.3321,119.3299,1.2449,1.3206,1.2669,1.5936,40.3293,11.8226,16.8653,4.8889
USD,0.6302,0.7507,1.0000,89.579,0.9345,0.9914,0.951,1.1963,30.2746,8.875,12.6605,3.67
JPY,0.007,0.0084,0.0112,1.0000,0.0104,0.0111,0.0106,0.0134,0.338,0.0991,0.1413,0.041
CHF,0.6744,0.8033,1.0701,95.8566,1.0000,1.0609,1.0177,1.2802,32.3962,9.497,13.5477,3.9272
CAD,0.6357,0.7572,1.0087,90.358,0.9426,1.0000,0.9593,1.2067,30.5378,8.9522,12.7706,3.7019
AUD,0.6626,0.7893,1.0515,94.1899,0.9826,1.0424,1.0000,1.2579,31.8329,9.3318,13.3122,3.8589
NZD,0.5268,0.6275,0.8359,74.8786,0.7812,0.8287,0.795,1.0000,25.3063,7.4186,10.5828,3.0677
RUB,0.0208,0.0248,0.033,2.9589,0.0309,0.0327,0.0314,0.0395,1.0000,0.2932,0.4182,0.1212
ZAR,0.071,0.0846,0.1127,10.0934,0.1053,0.1117,0.1072,0.1348,3.4112,1.0000,1.4265,0.4135
MXN,0.0498,0.0593,0.079,7.0755,0.0738,0.0783,0.0751,0.0945,2.3913,0.701,1.0000,0.2899
AED,0.1717,0.2045,0.2725,24.4084,0.2546,0.2701,0.2591,0.326,8.2492,2.4183,3.4497,1.0000
